anime_id,title,title_english,image_url,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,producer,licensor,studio,genre,duration_min,aired_from_year,numberofviews
19159,Genshiken Nidaime OVA,,https://myanimelist.cdn-dena.com/images/anime/12/57145.jpg,Manga,1,Finished Airing,f,"Dec 20, 2013","{'from': '2013-12-20', 'to': '2013-12-20'}",23 min.,R - 17+ (violence & profanity),7.27,5321,2519,3502,11248,3,,,,,Production I.G,"Comedy, Parody, Slice of Life",23,2013.0,494
12037,What&#039;s Michael? 2,,https://myanimelist.cdn-dena.com/images/anime/7/33925.jpg,Manga,1,Finished Airing,f,"Jul 25, 1988","{'from': '1988-07-25', 'to': '1988-07-25'}",44 min.,G - All Ages,6.23,70,6669,11066,217,0,,,,,"J.C.Staff, Kitty Films",Comedy,44,1988.0,7
33474,Haha wo Tazunete Sanzenri (Movie),,https://myanimelist.cdn-dena.com/images/anime/5/80489.jpg,Book,1,Finished Airing,f,"Jul 19, 1980","{'from': '1980-07-19', 'to': '1980-07-19'}",1 hr. 47 min.,G - All Ages,6.66,58,4929,11165,208,0,,,,,Nippon Animation,"Adventure, Drama, Historical, Slice of Life",107,1980.0,2
334,Marmalade Boy,Marmalade Boy,https://myanimelist.cdn-dena.com/images/anime/8/6092.jpg,Manga,76,Finished Airing,f,"Mar 13, 1994 to Sep 3, 1995","{'from': '1994-03-13', 'to': '1995-09-03'}",24 min. per ep.,PG-13 - Teens 13 or older,7.62,12292,1304,2102,30243,450,Spring 1994,Sundays at 08:30 (JST),Asahi Broadcasting,"Discotek Media, TOKYOPOP",Toei Animation,"Comedy, Drama, Romance, Shoujo",24,1994.0,804
31980,Okusama ga Seitokaichou! OVA,My Wife is the Student Council President OVA,https://myanimelist.cdn-dena.com/images/anime/12/78265.jpg,Manga,1,Finished Airing,f,"Jan 27, 2016","{'from': '2016-01-27', 'to': '2016-01-27'}",10 min.,R+ - Mild Nudity,6.89,13270,3958,2435,23727,18,,,,,Seven,"Comedy, Romance, Ecchi, Shounen",10,2016.0,844
116,El Hazard: The Wanderers,El-Hazard: The Wanderers,https://myanimelist.cdn-dena.com/images/anime/13/24439.jpg,Original,26,Finished Airing,f,"Oct 6, 1995 to Mar 29, 1996","{'from': '1995-10-06', 'to': '1996-03-29'}",23 min. per ep.,PG-13 - Teens 13 or older,7.06,4908,3332,3505,11210,29,Fall 1995,Fridays at 18:30 (JST),"TV Tokyo, Geneon Universal Entertainment, SoftX, Pioneer LDC, TV Tokyo Music, Atelier Musa","Nozomi Entertainment, Geneon Entertainment USA",AIC,"Adventure, Comedy, Romance, Fantasy",23,1995.0,491
36823,Huyao Xiao Hongniang: Beishan Yaodi,Fox Spirit Matchmaker 4th Season,https://myanimelist.cdn-dena.com/images/anime/4/89040.jpg,Manga,8,Finished Airing,f,"Nov 18, 2016 to Jan 6, 2017","{'from': '2016-11-18', 'to': '2017-01-06'}",14 min. per ep.,PG-13 - Teens 13 or older,7.63,1163,1272,6104,2826,4,,,Tencent Animation,,Haoliners Animation League,"Comedy, Historical, Supernatural, Romance",14,2016.0,80
5914,Kanamemo,,https://myanimelist.cdn-dena.com/images/anime/6/52677.jpg,4-koma manga,13,Finished Airing,f,"Jul 6, 2009 to Sep 28, 2009","{'from': '2009-07-06', 'to': '2009-09-28'}",24 min. per ep.,PG-13 - Teens 13 or older,6.97,11120,3678,2202,27910,70,Summer 2009,Unknown,"Starchild Records, TV Tokyo Music, Houbunsha",,feel.,"Ecchi, Comedy, Slice of Life, Shoujo Ai",24,2009.0,1028
6050,Mahou Sensei Negima! Mou Hitotsu no Sekai,,https://myanimelist.cdn-dena.com/images/anime/8/15192.jpg,Manga,4,Finished Airing,f,"Sep 17, 2009 to Aug 17, 2010","{'from': '2009-09-17', 'to': '2010-08-17'}",29 min. per ep.,PG-13 - Teens 13 or older,7.78,6196,928,2901,16911,42,,,Studio Pastoral,,Shaft,"Action, Adventure, Ecchi, Magic, Shounen, Supernatural",29,2009.0,560
895,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,Dragon Ball Z Movie 02: The World&#039;s Strongest,https://myanimelist.cdn-dena.com/images/anime/1017/90344.jpg,Manga,1,Finished Airing,f,"Mar 10, 1990","{'from': '1990-03-10', 'to': '1990-03-10'}",1 hr.,PG-13 - Teens 13 or older,6.83,41213,4181,1233,65967,30,,,,Funimation,Toei Animation,"Action, Sci-Fi, Adventure, Comedy, Fantasy, Shounen",60,1990.0,3695
1591,Kujibiki♥Unbalance,,https://myanimelist.cdn-dena.com/images/anime/6/75281.jpg,Other,12,Finished Airing,f,"Jul 10, 2006 to Dec 23, 2006","{'from': '2006-07-10', 'to': '2006-12-23'}",23 min. per ep.,PG-13 - Teens 13 or older,6.35,3611,6190,3655,10183,11,Summer 2006,Unknown,"Genco, Lantis, Media Factory",Media Blasters,Ajia-Do,"Comedy, Romance, School",23,2006.0,417
604,Mahou no Stage Fancy Lala,Magical Stage Fancy Lala,https://myanimelist.cdn-dena.com/images/anime/11/6263.jpg,Original,26,Finished Airing,f,"Apr 5, 1998 to Sep 27, 1998","{'from': '1998-04-05', 'to': '1998-09-27'}",24 min. per ep.,G - All Ages,7.17,2550,2932,4188,7357,35,Spring 1998,Sundays at 09:30 (JST),"Bandai Visual, Geneon Universal Entertainment, TV Osaka, Yomiuri Advertising, TV Tokyo Music",Bandai Entertainment,Studio Pierrot,"Music, Comedy, Drama, Magic, Romance, Shoujo",24,1998.0,287
2927,Kimikiss Pure Rouge,Kimikiss: Pure Rouge,https://myanimelist.cdn-dena.com/images/anime/3/19934.jpg,Visual novel,24,Finished Airing,f,"Oct 7, 2007 to Mar 23, 2008","{'from': '2007-10-07', 'to': '2008-03-23'}",24 min. per ep.,PG-13 - Teens 13 or older,7.43,31785,1891,1214,67070,297,Fall 2007,Unknown,"Bandai Visual, Lantis",Sentai Filmworks,J.C.Staff,"Drama, Romance, School",24,2007.0,2664
2237,Rozen Maiden: Meitantei Kunkun - Duell Walzer,,https://myanimelist.cdn-dena.com/images/anime/10/3373.jpg,Manga,1,Finished Airing,f,"Apr 27, 2006","{'from': '2006-04-27', 'to': '2006-04-27'}",7 min.,PG-13 - Teens 13 or older,6.56,7235,5389,3062,15033,17,,,Mellow Head,,Nomad,"Comedy, Mystery",7,2006.0,856
3430,Blame! Prologue,,https://myanimelist.cdn-dena.com/images/anime/11/5599.jpg,Manga,2,Finished Airing,f,"Sep 7, 2007","{'from': '2007-09-07', 'to': '2007-09-07'}",4 min. per ep.,PG-13 - Teens 13 or older,5.65,2919,8095,4320,6727,5,,,,,Production I.G,"Action, Mecha, Sci-Fi",4,2007.0,348
32574,Kekkai Sensen: Ousama no Restaurant no Ousama,,https://myanimelist.cdn-dena.com/images/anime/10/79209.jpg,Manga,1,Finished Airing,f,"Jun 3, 2016","{'from': '2016-06-03', 'to': '2016-06-03'}",24 min.,R - 17+ (violence & profanity),7.45,9088,1812,2659,20290,14,,,TOHO animation,,Bones,"Action, Comedy, Super Power, Supernatural, Fantasy, Shounen",24,2016.0,549
31414,Nijiiro Days,Rainbow Days,https://myanimelist.cdn-dena.com/images/anime/8/76691.jpg,Manga,24,Finished Airing,f,"Jan 10, 2016 to Jun 26, 2016","{'from': '2016-01-10', 'to': '2016-06-26'}",13 min. per ep.,PG-13 - Teens 13 or older,7.5,40787,1638,893,97026,427,Winter 2016,Sundays at 22:00 (JST),"YTV, Tokuma Japan, Daiichikosho, Shueisha",Funimation,Production Reed,"Comedy, Romance, School, Shoujo, Slice of Life",13,2016.0,1551
137,Hunter x Hunter: Yorkshin City Kanketsu-hen,,https://myanimelist.cdn-dena.com/images/anime/1/137.jpg,Manga,8,Finished Airing,f,"Jan 17, 2002 to Apr 17, 2002","{'from': '2002-01-17', 'to': '2002-04-17'}",24 min. per ep.,PG-13 - Teens 13 or older,8.39,39820,171,1198,67870,275,,,,,Nippon Animation,"Action, Adventure, Super Power, Shounen",24,2002.0,2768
6993,Koneko no Rakugaki,,https://myanimelist.cdn-dena.com/images/anime/8/16449.jpg,Original,1,Finished Airing,f,"May 13, 1957","{'from': '1957-05-13', 'to': '1957-05-13'}",13 min.,G - All Ages,5.88,471,7621,8503,884,0,,,,,Toei Animation,Comedy,13,1957.0,68
1047,On Your Mark,On Your Mark,https://myanimelist.cdn-dena.com/images/anime/10/81234.jpg,Music,1,Finished Airing,f,"Jul 15, 1995","{'from': '1995-07-15', 'to': '1995-07-15'}",6 min.,G - All Ages,7.56,10159,1468,2842,17582,49,,,,,Studio Ghibli,"Drama, Music, Sci-Fi",6,1995.0,1150
597,Neko no Ongaeshi,The Cat Returns,https://myanimelist.cdn-dena.com/images/anime/1/597.jpg,Other,1,Finished Airing,f,"Jul 20, 2002","{'from': '2002-07-20', 'to': '2002-07-20'}",1 hr. 15 min.,G - All Ages,7.94,75080,632,719,119491,640,,,,"Walt Disney Studios, GKIDS",Studio Ghibli,"Adventure, Drama, Fantasy",75,2002.0,4971
15811,Girls & Panzer Specials,Girls & Panzer OVAs,https://myanimelist.cdn-dena.com/images/anime/7/42857.jpg,Original,6,Finished Airing,f,"Dec 21, 2012 to Jun 21, 2013","{'from': '2012-12-21', 'to': '2013-06-21'}",12 min. per ep.,PG-13 - Teens 13 or older,7.21,10724,2775,2633,20609,22,,,,Sentai Filmworks,Actas,"Military, School",12,2012.0,761
32740,Girls & Panzer Movie Specials,,https://myanimelist.cdn-dena.com/images/anime/4/80095.jpg,Original,3,Finished Airing,f,"May 27, 2016","{'from': '2016-05-27', 'to': '2016-05-27'}",15 min. per ep.,PG-13 - Teens 13 or older,7.36,5346,2180,3474,11444,29,,,,,Actas,"Military, School",15,2016.0,332
24625,Gundam Build Fighters Try,Gundam Build Fighters Try,https://myanimelist.cdn-dena.com/images/anime/6/67511.jpg,Original,25,Finished Airing,f,"Oct 8, 2014 to Apr 1, 2015","{'from': '2014-10-08', 'to': '2015-04-01'}",25 min. per ep.,G - All Ages,7.44,12879,1847,2400,24272,97,Fall 2014,Wednesdays at 18:00 (JST),"TV Tokyo, Sotsu",Nozomi Entertainment,Sunrise,"Action, Sci-Fi, Mecha",25,2014.0,601
3604,Hidamari Sketch x 365,Hidamari Sketch x 365,https://myanimelist.cdn-dena.com/images/anime/11/10894.jpg,4-koma manga,13,Finished Airing,f,"Jul 4, 2008 to Sep 26, 2008","{'from': '2008-07-04', 'to': '2008-09-26'}",24 min. per ep.,PG-13 - Teens 13 or older,7.87,11092,755,2533,21970,133,Summer 2008,Fridays at 01:25 (JST),"Aniplex, Lantis, TBS, Movic, Houbunsha",Sentai Filmworks,Shaft,"Slice of Life, Comedy, School, Seinen",24,2008.0,918
4181,Clannad: After Story,Clannad ~After Story~,https://myanimelist.cdn-dena.com/images/anime/13/24647.jpg,Visual novel,24,Finished Airing,f,"Oct 3, 2008 to Mar 27, 2009","{'from': '2008-10-03', 'to': '2009-03-27'}",24 min. per ep.,PG-13 - Teens 13 or older,9.01,363239,14,55,607387,47380,Fall 2008,Fridays at 01:59 (JST),"Pony Canyon, TBS, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,"Slice of Life, Comedy, Supernatural, Drama, Romance",24,2008.0,14199
1303,The Animatrix,The Animatrix,https://myanimelist.cdn-dena.com/images/anime/3/75870.jpg,Other,9,Finished Airing,f,"Jun 3, 2003","{'from': '2003-06-03', 'to': '2003-06-03'}",10 min. per ep.,R - 17+ (violence & profanity),7.32,24942,2364,1514,51228,193,,,,Warner Bros.,"Madhouse, Studio 4°C","Action, Drama, Sci-Fi",10,2003.0,2808
3545,Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV),,https://myanimelist.cdn-dena.com/images/anime/5/21196.jpg,Manga,373,Finished Airing,f,"Jun 16, 1996 to Dec 19, 2004","{'from': '1996-06-16', 'to': '2004-12-19'}",25 min. per ep.,PG-13 - Teens 13 or older,7.79,1975,902,4301,6838,84,Summer 1996,Sundays at 19:00 (JST),"Asatsu DK, Fuji TV",,Studio Gallop,"Slice of Life, Comedy, Police",25,1996.0,118
36297,Hachigatsu no Cinderella Nine,,https://myanimelist.cdn-dena.com/images/anime/11/87686.jpg,Game,1,Finished Airing,f,"Jul 31, 2016","{'from': '2016-07-31', 'to': '2016-07-31'}",3 min.,G - All Ages,5.5,74,8371,10706,263,0,,,,,A-1 Pictures,"Music, Sports",3,2016.0,11
32899,Watashi ga Motete Dousunda,"Kiss Him, Not Me!",https://myanimelist.cdn-dena.com/images/anime/4/81953.jpg,Manga,12,Finished Airing,f,"Oct 7, 2016 to Dec 23, 2016","{'from': '2016-10-07', 'to': '2016-12-23'}",23 min. per ep.,PG-13 - Teens 13 or older,7.41,62364,2001,589,141499,947,Fall 2016,Fridays at 01:58 (JST),"TBS, Kodansha, DAX Production, Nippon Columbia, RAY",Funimation,Brain&#039;s Base,"Harem, Comedy, Romance, School, Shoujo",23,2016.0,2118
1070,Love Get Chu,,https://myanimelist.cdn-dena.com/images/anime/11/52613.jpg,Visual novel,25,Finished Airing,f,"Apr 5, 2006 to Sep 27, 2006","{'from': '2006-04-05', 'to': '2006-09-27'}",24 min. per ep.,PG-13 - Teens 13 or older,6.69,1302,4808,4430,6362,8,Spring 2006,Unknown,,,Radix,"Comedy, Romance",24,2006.0,103
31715,Working!!!: Lord of the Takanashi,,https://myanimelist.cdn-dena.com/images/anime/10/79375.jpg,4-koma manga,1,Finished Airing,f,"Mar 30, 2016","{'from': '2016-03-30', 'to': '2016-03-30'}",49 min.,PG-13 - Teens 13 or older,8.29,32129,253,1483,52617,136,,,,Aniplex of America,A-1 Pictures,"Slice of Life, Comedy, Romance",49,2016.0,1676
465,One Piece Movie 7: Karakuri-jou no Mecha Kyohei,,https://myanimelist.cdn-dena.com/images/anime/9/20927.jpg,Manga,1,Finished Airing,f,"Mar 4, 2006","{'from': '2006-03-04', 'to': '2006-03-04'}",1 hr. 34 min.,PG-13 - Teens 13 or older,7.41,22618,1985,1781,39925,16,,,"Fuji Pacific Music Publishing, Shueisha",,Toei Animation,"Adventure, Comedy, Fantasy, Shounen",94,2006.0,2299
167,Scrapped Princess,Scrapped Princess,https://myanimelist.cdn-dena.com/images/anime/12/73985.jpg,Light novel,24,Finished Airing,f,"Apr 8, 2003 to Oct 7, 2003","{'from': '2003-04-08', 'to': '2003-10-07'}",23 min. per ep.,PG-13 - Teens 13 or older,7.48,28908,1704,1199,67810,411,Spring 2003,Tuesdays at 18:00 (JST),"Kadokawa Shoten, A-Line","Funimation, Bandai Entertainment",Bones,"Adventure, Comedy, Drama, Fantasy, Mecha, Sci-Fi, Shounen",23,2003.0,2191
10638,Denpa Onna to Seishun Otoko: Mayonaka no Taiyou,,https://myanimelist.cdn-dena.com/images/anime/3/36709.jpg,Light novel,1,Finished Airing,f,"Feb 8, 2012","{'from': '2012-02-08', 'to': '2012-02-08'}",29 min.,PG-13 - Teens 13 or older,7.38,23900,2104,1742,41273,27,,,,"NIS America, Inc.",Shaft,"Sci-Fi, Comedy",29,2012.0,2127
7793,Ring ni Kakero 1: Kage Dou-hen,,https://myanimelist.cdn-dena.com/images/anime/9/18864.jpg,Manga,6,Finished Airing,f,"Apr 2, 2010 to Jun 17, 2010","{'from': '2010-04-02', 'to': '2010-06-17'}",21 min. per ep.,PG-13 - Teens 13 or older,6.81,216,4291,8417,930,12,Spring 2010,Unknown,,,Toei Animation,"Action, Shounen, Sports",21,2010.0,16
36468,Shoujo Shuumatsu Jugyou,,https://myanimelist.cdn-dena.com/images/anime/10/88044.jpg,Manga,12,Finished Airing,f,"Oct 6, 2017 to Dec 22, 2017","{'from': '2017-10-06', 'to': '2017-12-22'}",1 min. per ep.,G - All Ages,6.51,1901,5578,4874,4988,3,,,Kadokawa,,Studio PuYUKAI,"Comedy, Parody, School",1,2017.0,114
23137,Girls & Panzer Heartful Tank Disc Picture Drama,,https://myanimelist.cdn-dena.com/images/anime/2/62195.jpg,Original,4,Finished Airing,f,"Sep 25, 2013","{'from': '2013-09-25', 'to': '2013-09-25'}",10 min. per ep.,PG-13 - Teens 13 or older,6.7,703,4753,5701,3383,2,,,Lantis,,Actas,"Military, School",10,2013.0,57
34239,Mutsugo to Ouma no Monogatari,The Story of the Sextuplets and a Horse,https://myanimelist.cdn-dena.com/images/anime/10/82374.jpg,Manga,6,Finished Airing,f,"Oct 13, 2016 to Dec 8, 2016","{'from': '2016-10-13', 'to': '2016-12-08'}",2 min. per ep.,PG-13 - Teens 13 or older,6.44,316,5845,6992,1889,4,,,TV Tokyo,,Studio Pierrot,"Comedy, Parody, Sports",2,2016.0,34
33080,Brotherhood: Final Fantasy XV,,https://myanimelist.cdn-dena.com/images/anime/13/79397.jpg,Game,5,Finished Airing,f,"Mar 31, 2016 to Sep 18, 2016","{'from': '2016-03-31', 'to': '2016-09-18'}",14 min. per ep.,PG-13 - Teens 13 or older,7.12,25961,3115,1575,47830,129,,,"Square Enix, RightTracks",,A-1 Pictures,Action,14,2016.0,1311
33213,Onizushi,,https://myanimelist.cdn-dena.com/images/anime/4/79804.jpg,Original,3,Finished Airing,f,"Apr 19, 2016 to May 25, 2016","{'from': '2016-04-19', 'to': '2016-05-25'}",4 min. per ep.,PG - Children,5.75,70,7905,10938,230,0,,,,,Robot Communications,"Comedy, Demons",4,2016.0,5
21085,Witch Craft Works,,https://myanimelist.cdn-dena.com/images/anime/12/55693.jpg,Manga,12,Finished Airing,f,"Jan 5, 2014 to Mar 23, 2014","{'from': '2014-01-05', 'to': '2014-03-23'}",23 min. per ep.,PG-13 - Teens 13 or older,7.2,72650,2833,573,144837,373,Winter 2014,Unknown,"Bandai Visual, Lantis, Kodansha, Movic, I Will",,J.C.Staff,"Action, Fantasy, Magic, Seinen, Supernatural",23,2014.0,3589
10324,Tono to Issho: Gantai no Yabou,,https://myanimelist.cdn-dena.com/images/anime/10/28398.jpg,4-koma manga,12,Finished Airing,f,"Apr 5, 2011 to Jun 21, 2011","{'from': '2011-04-05', 'to': '2011-06-21'}",3 min. per ep.,PG-13 - Teens 13 or older,6.64,765,5039,6561,2301,0,Spring 2011,Unknown,Frontier Works,,Gathering,"Comedy, Historical, Parody, Samurai, Seinen",3,2011.0,102
34888,Makeruna!! Aku no Gundan!,,https://myanimelist.cdn-dena.com/images/anime/8/84731.jpg,Manga,12,Finished Airing,f,"Apr 5, 2017 to Jun 21, 2017","{'from': '2017-04-05', 'to': '2017-06-21'}",5 min. per ep.,None,5.31,506,8672,7733,1307,1,Spring 2017,Wednesdays at 22:45 (JST),Bushiroad,,Tatsunoko Production,"Comedy, Shounen",5,2017.0,47
6234,True Tears Specials,,https://myanimelist.cdn-dena.com/images/anime/10/13889.jpg,Original,7,Finished Airing,f,"Mar 25, 2008 to Sep 26, 2008","{'from': '2008-03-25', 'to': '2008-09-26'}",30 sec. per ep.,G - All Ages,6.39,3785,6055,3962,8358,3,,,"Bandai Visual, Lantis",,P.A. Works,"Parody, Comedy, School",0.5,2008.0,471
35220,Youkai Apartment no Yuuga na Nichijou,Elegant Yokai Apartment Life,https://myanimelist.cdn-dena.com/images/anime/5/86678.jpg,Novel,26,Finished Airing,f,"Jul 3, 2017 to Dec 25, 2017","{'from': '2017-07-03', 'to': '2017-12-25'}",23 min. per ep.,PG-13 - Teens 13 or older,7.18,12130,2911,1830,38323,115,Summer 2017,Mondays at 23:00 (JST),"TMS Entertainment, Kodansha, Asmik Ace Entertainment, East Japan Marketing &amp; Communications, Sumitomo",,Shin-Ei Animation,"Slice of Life, Mystery, Supernatural",23,2017.0,515
1055,Blame!,,https://myanimelist.cdn-dena.com/images/anime/2/2713.jpg,Manga,6,Finished Airing,f,"Oct 24, 2003","{'from': '2003-10-24', 'to': '2003-10-24'}",6 min. per ep.,R+ - Mild Nudity,6.08,7192,7130,2698,19603,65,,,,Media Blasters,Group TAC,"Sci-Fi, Mecha",6,2003.0,702
19367,Galilei Donna,Galilei Donna: Storia di tre sorelle a caccia di un mistero,https://myanimelist.cdn-dena.com/images/anime/11/53239.jpg,Original,11,Finished Airing,f,"Oct 11, 2013 to Dec 20, 2013","{'from': '2013-10-11', 'to': '2013-12-20'}",24 min. per ep.,R - 17+ (violence & profanity),6.47,19165,5717,1676,43888,46,Fall 2013,Fridays at 00:50 (JST),"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings",Discotek Media,A-1 Pictures,"Action, Sci-Fi, Adventure",24,2013.0,1410
6684,Marie & Gali Special,,https://myanimelist.cdn-dena.com/images/anime/12/15369.jpg,Original,1,Finished Airing,f,"Jun 2, 2009","{'from': '2009-06-02', 'to': '2009-06-02'}",4 min.,G - All Ages,5.66,178,8085,9609,477,0,,,,,Toei Animation,Comedy,4,2009.0,23
33447,Piace: Watashi no Italian,Piacevole: My Italian Cooking,https://myanimelist.cdn-dena.com/images/anime/8/83098.jpg,Web manga,12,Finished Airing,f,"Jan 11, 2017 to Mar 29, 2017","{'from': '2017-01-11', 'to': '2017-03-29'}",4 min. per ep.,PG-13 - Teens 13 or older,5.91,4751,7551,3518,11127,8,Winter 2017,Wednesdays at 22:30 (JST),"Pony Canyon, Studio NOIX, comico",,Zero-G,"Slice of Life, Comedy",4,2017.0,313
33975,3-Nen D-Gumi Glass no Kamen,The Glass Mask Year 3 Class D,https://myanimelist.cdn-dena.com/images/anime/7/85641.jpg,Manga,13,Finished Airing,f,"Oct 3, 2016 to Dec 26, 2016","{'from': '2016-10-03', 'to': '2016-12-26'}",4 min. per ep.,PG - Children,4.97,453,9067,7644,1373,1,Fall 2016,Mondays at 21:55 (JST),,,DLE,"Comedy, Parody, School",4,2016.0,36
5231,Inazuma Eleven,,https://myanimelist.cdn-dena.com/images/anime/3/17917.jpg,Game,127,Finished Airing,f,"Oct 5, 2008 to Apr 27, 2011","{'from': '2008-10-05', 'to': '2011-04-27'}",24 min. per ep.,G - All Ages,7.68,39317,1148,1181,69544,1528,Fall 2008,Unknown,"TV Tokyo, Dentsu, Half H.P Studio",,OLM,"Sports, Super Power, Shounen",24,2008.0,1079
2708,Wankorobee,,https://myanimelist.cdn-dena.com/images/anime/11/3647.jpg,Original,26,Finished Airing,f,"Oct 6, 1996 to Mar 30, 1997","{'from': '1996-10-06', 'to': '1997-03-30'}",15 min. per ep.,G - All Ages,5.3,20,12630,12154,138,0,Fall 1996,Sundays at 10:30 (JST),,,"Ajia-Do, TMS Entertainment","Comedy, Fantasy, Kids",15,1996.0,1
34863,Zoku Touken Ranbu: Hanamaru,,https://myanimelist.cdn-dena.com/images/anime/5/89579.jpg,Card game,12,Finished Airing,f,"Jan 8, 2018 to Mar 26, 2018","{'from': '2018-01-08', 'to': '2018-03-26'}",24 min. per ep.,PG-13 - Teens 13 or older,7.38,2663,2140,3170,14213,76,Winter 2018,Mondays at 00:00 (JST),"Marvelous, Nitroplus, TOHO animation, Good Smile Company, DMM.com",Funimation,Doga Kobo,"Action, Comedy, Drama, Fantasy, Historical, Slice of Life",24,2018.0,171
10155,Dog Days,,https://myanimelist.cdn-dena.com/images/anime/9/75378.jpg,Original,13,Finished Airing,f,"Apr 2, 2011 to Jun 25, 2011","{'from': '2011-04-02', 'to': '2011-06-25'}",24 min. per ep.,PG-13 - Teens 13 or older,7.14,57351,3034,691,122930,511,Spring 2011,Unknown,"Aniplex, Good Smile Company",,Seven Arcs,"Action, Adventure, Fantasy, Magic",24,2011.0,3405
34028,Idol Jihen,Idol Incidents,https://myanimelist.cdn-dena.com/images/anime/7/83624.jpg,Original,12,Finished Airing,f,"Jan 8, 2017 to Mar 26, 2017","{'from': '2017-01-08', 'to': '2017-03-26'}",23 min. per ep.,PG-13 - Teens 13 or older,5.7,2542,7996,3732,9669,12,Winter 2017,Sundays at 23:30 (JST),"BS Fuji, MAGES., Docomo Anime Store, bilibili, Crunchyroll SC Anime Fund",,"MAPPA, Studio VOLN",Music,23,2017.0,165
35559,Sin: Nanatsu no Taizai - Masani Akuma no Shogyou...,,https://myanimelist.cdn-dena.com/images/anime/3/86622.jpg,Other,1,Finished Airing,f,"May 13, 2017","{'from': '2017-05-13', 'to': '2017-05-13'}",23 min.,R+ - Mild Nudity,5.36,1844,8598,4886,4978,2,,,,Funimation,"Artland, TNK","Ecchi, Fantasy",23,2017.0,165
31418,KanColle Movie,Fleet Girls Collection KanColle Movie Sequence,https://myanimelist.cdn-dena.com/images/anime/7/87590.jpg,Card game,1,Finished Airing,f,"Nov 26, 2016","{'from': '2016-11-26', 'to': '2016-11-26'}",1 hr. 33 min.,PG-13 - Teens 13 or older,7.64,7460,1249,2541,21888,143,,,,,Diomedea,"Action, Military, Sci-Fi, Drama",93,2016.0,430
28,Yakitate!! Japan,Yakitate!! Japan,https://myanimelist.cdn-dena.com/images/anime/3/76432.jpg,Manga,69,Finished Airing,f,"Oct 12, 2004 to Mar 14, 2006","{'from': '2004-10-12', 'to': '2006-03-14'}",24 min. per ep.,PG-13 - Teens 13 or older,8.02,26532,540,1301,62326,748,Fall 2004,Unknown,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Nozomi Entertainment,Sunrise,"Comedy, Shounen",24,2004.0,1696
30390,Sengoku Musou: Sengoku Musou High School,,https://myanimelist.cdn-dena.com/images/anime/6/72789.jpg,Game,8,Finished Airing,f,"May 20, 2015 to Aug 19, 2015","{'from': '2015-05-20', 'to': '2015-08-19'}",30 sec. per ep.,PG-13 - Teens 13 or older,6.37,161,6136,8192,1044,0,,,Koei,,TYO Animations,"Comedy, Samurai, School",0.5,2015.0,10
2124,Code Geass: Hangyaku no Lelouch Recaps,,https://myanimelist.cdn-dena.com/images/anime/7/22569.jpg,Original,2,Finished Airing,f,"Dec 1, 2006 to Feb 16, 2007","{'from': '2006-12-01', 'to': '2007-02-16'}",24 min. per ep.,PG-13 - Teens 13 or older,7.11,11759,3150,2284,26351,68,,,,,Sunrise,"Action, Mecha, Military, School, Super Power",24,2006.0,1751
33979,Kowaremono: Risa Plus The Animation,,https://myanimelist.cdn-dena.com/images/anime/5/82084.jpg,Manga,1,Finished Airing,f,"Oct 7, 2016","{'from': '2016-10-07', 'to': '2016-10-07'}",17 min.,Rx - Hentai,6.72,1317,,5764,3288,13,,,BOOTLEG,,Studio 1st,Hentai,17,2016.0,101
1474,City Hunter: Ai to Shukumei no Magnum,City Hunter: .357 Magnum,https://myanimelist.cdn-dena.com/images/anime/6/3023.jpg,Manga,1,Finished Airing,f,"Jun 17, 1989","{'from': '1989-06-17', 'to': '1989-06-17'}",1 hr. 27 min.,PG-13 - Teens 13 or older,7.54,1987,1518,5235,4172,5,,,,,"Sunrise, Production Reed","Action, Comedy, Mystery, Shounen",87,1989.0,208
14127,Papa Love: Papa to Icha Ero Shitai Musume-tachi to Hitotsu Yane no Shita de,,https://myanimelist.cdn-dena.com/images/anime/2/47871.jpg,Visual novel,2,Finished Airing,f,"Jul 27, 2012 to Jan 25, 2013","{'from': '2012-07-27', 'to': '2013-01-25'}",30 min. per ep.,Rx - Hentai,7.06,2975,,4166,7433,50,,,,,PoRO,Hentai,30,2012.0,223
6500,Seikon no Qwaser,The Qwaser of Stigmata,https://myanimelist.cdn-dena.com/images/anime/9/67771.jpg,Manga,24,Finished Airing,f,"Jan 10, 2010 to Jun 20, 2010","{'from': '2010-01-10', 'to': '2010-06-20'}",24 min. per ep.,R+ - Mild Nudity,6.71,74731,4724,397,190796,650,Winter 2010,Sundays at 03:28 (JST),TAKI Corporation,Sentai Filmworks,Hoods Entertainment,"Action, Super Power, Supernatural, Ecchi, Seinen",24,2010.0,3879
